aX,aY,aZ,gX,gY,gZ,sN
1,-0.037,-2.664,1.762,-0.824,-0.664,-0.457
2,-2.971,-2.248,1.342,0.180,-0.066,-0.585
3,-3.312,-4.797,0.123,0.679,0.390,0.224
4,-4.178,-3.891,5.975,1.149,0.994,0.351
1,-0.130,-3.213,1.693,2.451,0.967,-0.744
2,-3.080,-1.398,1.310,2.480,1.023,1.996
3,-3.117,-2.288,-1.397,2.310,1.679,2.850
4,-3.974,-0.510,0.748,2.921,3.309,1.892
1,-4.650,4.901,-2.987,5.138,1.862,-0.691
2,-3.563,10.745,-5.996,3.012,1.361,3.553
3,-8.092,13.701,-10.359,1.941,1.669,3.651
4,-10.499,12.735,-12.358,2.552,2.342,2.387
1,-14.668,18.623,-3.992,2.948,1.217,0.606
2,-6.248,19.613,-8.756,0.541,0.108,1.715
3,-8.970,19.613,-10.873,0.076,-0.420,0.794
4,-8.197,16.666,-13.077,-0.201,-0.732,0.164
1,-11.174,19.613,-5.332,-1.149,-0.859,0.572
2,-3.127,18.308,-5.701,-1.773,-0.884,-1.486
3,-5.885,16.018,-7.081,-1.802,-1.500,-2.246
4,-5.632,11.411,-7.509,-2.677,-2.241,-1.642
1,-5.926,11.850,-3.460,-3.616,-1.562,0.757
2,-2.161,9.136,-2.514,-3.124,-1.062,-2.833
3,-3.282,5.085,-3.359,-2.680,-1.681,-3.251
4,-3.146,2.103,0.792,-2.982,-2.304,-2.077
1,-2.282,1.632,-0.444,-3.345,-1.610,0.103
2,-2.028,0.753,0.265,-1.972,-0.818,-2.627
3,-2.474,-2.355,-0.239,-1.200,-0.895,-2.292
4,-3.394,-2.531,5.331,-1.015,-1.004,-1.272
1,0.784,-3.182,1.694,-0.901,-0.503,-0.362
2,-2.459,-2.702,1.701,0.088,0.116,-0.555
3,-2.829,-5.151,0.587,0.638,0.504,0.286
4,-3.944,-3.982,6.138,1.189,1.153,0.432
1,0.381,-3.375,1.408,2.460,1.203,-0.733
2,-2.288,-1.271,0.493,2.439,1.374,2.099
3,-2.471,-1.943,-1.927,2.233,2.209,3.113
4,-4.196,-0.074,0.127,2.966,3.402,2.325
1,-4.748,5.558,-3.662,5.175,2.769,-0.435
2,-3.758,11.272,-5.997,3.024,2.037,4.119
3,-8.347,13.959,-10.311,1.944,2.054,4.293
4,-9.947,13.218,-12.712,2.427,2.308,2.799
